0,1.5708,0,9,0,0
0.09,1.5708,1.48795e-20,9,1.64435e-17,4.46685e-18
0.18,1.5708,1.19217e-19,9,3.23502e-17,1.79036e-17
0.27,1.5708,4.03194e-19,9,4.7179e-17,4.04192e-17
0.36,1.5708,9.5845e-19,9,6.03802e-17,7.2196e-17
0.45,1.5708,1.87882e-18,9,7.13907e-17,1.13492e-16
0.54,1.5708,3.26111e-18,9,7.96297e-17,1.64641e-16
0.63,1.5708,5.20585e-18,9,8.4494e-17,2.26059e-16
0.72,1.5708,7.81815e-18,9,8.5353e-17,2.98242e-16
0.81,1.5708,1.12085e-17,9,8.15436e-17,3.81777e-16
0.9,1.5708,1.54937e-17,9,7.23648e-17,4.7734e-16
0.99,1.5708,2.07979e-17,9,5.70724e-17,5.85705e-16
1.08,1.5708,2.72534e-17,9,3.48722e-17,7.07752e-16
1.17,1.5708,3.50018e-17,9,4.91442e-18,8.44469e-16
1.26,1.5708,4.41954e-17,9,-3.37139e-17,9.96964e-16
1.35,1.5708,5.49978e-17,9,-8.19959e-17,1.16647e-15
1.44,1.5708,6.75861e-17,9,-1.40993e-16,1.35437e-15
1.53,1.5708,8.21516e-17,9,-2.11853e-16,1.56218e-15
1.62,1.5708,9.89017e-17,9,-2.95821e-16,1.79159e-15
1.71,1.5708,1.18062e-16,9,-3.94247e-16,2.04445e-15
1.8,1.5708,1.39876e-16,9,-5.08599e-16,2.32282e-15
1.89,1.5708,1.6461e-16,9,-6.40474e-16,2.62894e-15
1.98,1.5708,1.92555e-16,9,-7.91612e-16,2.96531e-15
2.07,1.5708,2.24026e-16,9,-9.63906e-16,3.33465e-15
2.16,1.5708,2.59368e-16,9,-1.15942e-15,3.73995e-15
2.25,1.5708,2.98956e-16,9,-1.38042e-15,4.1845e-15
2.34,1.5708,3.43201e-16,9,-1.62935e-15,4.6719e-15
2.43,1.5708,3.9255e-16,9,-1.90892e-15,5.2061e-15
2.52,1.5708,4.47493e-16,9,-2.22204e-15,5.79144e-15
2.61,1.5708,5.08565e-16,9,-2.57194e-15,6.43265e-15
2.7,1.5708,5.7635e-16,9,-2.96212e-15,7.13493e-15
2.79,1.5708,6.51486e-16,9,-3.3964e-15,7.90398e-15
2.88,1.5708,7.34672e-16,9,-3.87899e-15,8.74603e-15
2.97,1.5708,8.26673e-16,9,-4.41445e-15,9.6679e-15
3.06,1.5708,9.28321e-16,9,-5.00781e-15,1.06771e-14
3.15,1.5708,1.04053e-15,9,-5.66455e-15,1.17817e-14
3.24,1.5708,1.1643e-15,9,-6.39064e-15,1.29908e-14
3.33,1.5708,1.30073e-15,9,-7.19266e-15,1.43141e-14
3.42,1.5708,1.451e-15,9,-8.07776e-15,1.57623e-14
3.51,1.5708,1.61643e-15,9,-9.05381e-15,1.73473e-14
3.6,1.5708,1.79845e-15,9,-1.01294e-14,1.90818e-14
3.69,1.5708,1.99861e-15,9,-1.13138e-14,2.09799e-14
3.78,1.5708,2.21864e-15,9,-1.26075e-14,2.3057e-14
3.87,1.5708,2.46048e-15,9,-1.39721e-14,2.53515e-14
